node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
24,39.470545,-0.3830627,15,46001,Carrer de l'Hospital,place_of_worship,,roman_catholic,,,,,,
25,39.4703811,-0.3817491,,,,library,,,,,,,,
26,39.4703735,-0.3810115,,,,,,,,,,,,
27,39.4716426,-0.382842,,,,,,,,,,,,
28,39.4714706,-0.3833946,,,,church,,catholic,,,,,,
29,39.4712919,-0.3833941,,,,construction,,,,,,,,
30,39.4719465,-0.3819139,,,,,,,,,,,,
31,39.4730996,-0.3815101,,,,,,,,,,,,
32,39.4730167,-0.382095,,,,,,,,,,,,
33,39.4733338,-0.3815981,,,,,,,,,,,,
34,39.4733167,-0.381997,,,,,,,,,,,,
35,39.4736865,-0.3823109,,,,,,,,,,,,
36,39.4737389,-0.3827586,,,,,,,,,,,,
37,39.473823,-0.383373,,,,,,,,,,,,
38,39.4783485,-0.3530385,,,,mosque,,,,,,,,
39,39.4743935,-0.3835711,,,,,,,,,,,,
40,39.4743088,-0.3832435,,,,,,,,,,,,
41,39.4734778,-0.3826306,,,,,,,,,,,,
42,39.4742496,-0.3827166,,,,,,,,,,,,
43,39.474016,-0.3827144,,,,,,,,,,,,
44,39.4744023,-0.3824568,,,,,,,,,,,,
45,39.4751343,-0.3828997,,,,,,,,,,,,
46,39.4747371,-0.3827654,,,,university,,,,,,,,
47,39.4746083,-0.3815599,,,,,,,,,,,,
48,39.4746436,-0.3820596,,,,,,,,,,,,
49,39.4742564,-0.3814821,,,,,,,,,,,,
